Date;Average temperature (°F);Average humidity (%);Average dewpoint (°F);Average barometer (in);Average windspeed (mph);Average gustspeed (mph);Average direction (°deg);Rainfall for month (in);Rainfall for year (in);Maximum rain per minute;Maximum temperature (°F);Minimum temperature (°F);Maximum humidity (%);Minimum humidity (%);Maximum pressure;Minimum pressure;Maximum windspeed (mph);Maximum gust speed (mph);Maximum heat index (°F);Date1;Month;diff_pressure
15/08/2015;694;470;442;298;36;59;2680;7;1194;0;888;510;840;160;29849;29661;207;403;855;15/08/2015;8;1,88E+16
16/08/2015;620;690;507;298;32;51;2420;75;1199;0;765;495;930;300;29892;29684;138;196;778;16/08/2015;8;2,08E+15
17/08/2015;595;740;506;297;28;48;820;93;1217;0;744;460;910;320;2986;295;138;196;775;17/08/2015;8;3,6E+16
18/08/2015;525;660;397;297;35;60;770;96;122;0;696;411;900;210;29902;29594;138;196;772;18/08/2015;8;3,08E+16
19/08/2015;489;720;393;299;22;42;1010;103;1227;0;609;346;940;480;30078;29794;104;138;609;19/08/2015;8;2,84E+15
20/08/2015;581;480;326;298;27;49;3530;103;1227;0;796;379;900;140;29866;29662;138;276;782;20/08/2015;8;2,04E+16
21/08/2015;620;360;286;296;40;66;2960;103;1227;0;845;368;770;100;29777;29467;161;276;815;21/08/2015;8;3,1E+15
22/08/2015;642;370;354;296;41;70;3050;103;1227;0;820;474;670;120;29895;29415;184;265;797;22/08/2015;8;4,8E+15
23/08/2015;538;560;362;300;22;39;520;103;1227;0;715;359;890;240;30123;29895;127;184;772;23/08/2015;8;2,28E+16
24/08/2015;615;410;320;299;25;45;3440;103;1227;0;859;383;770;100;30092;29838;150;207;826;24/08/2015;8;2,54E+15
25/08/2015;650;370;330;299;20;36;1200;103;1227;0;879;416;730;100;30027;29777;115;184;842;25/08/2015;8;25
26/08/2015;641;410;375;298;25;42;3040;11;1234;0;843;468;660;150;29949;29633;150;196;814;26/08/2015;8;3,16E+15
27/08/2015;654;480;448;297;46;75;2600;11;1234;0;744;547;740;340;29822;29622;173;196;775;27/08/2015;8;2E+15
28/08/2015;621;470;406;299;27;49;3160;112;1236;0;725;486;720;260;29968;29791;104;184;774;28/08/2015;8;1,77E+15
29/08/2015;612;490;375;299;17;32;840;112;1236;0;801;406;880;170;30085;29741;127;196;787;29/08/2015;8;3,44E+15
30/08/2015;665;370;347;297;38;62;2670;112;1236;0;863;425;760;130;2988;29481;173;265;829;30/08/2015;8;3,99E+16
31/08/2015;656;420;407;296;66;103;2660;112;1236;0;770;504;770;220;29814;29474;173;276;774;31/08/2015;8;3,4E+16
1/09/2015;626;410;357;298;36;58;2650;0;1236;0;818;461;800;150;29836;29684;173;207;796;1/09/2015;9;1,52E+16
2/09/2015;698;290;350;296;65;101;2590;0;1236;0;834;540;450;160;29777;29531;173;265;808;2/09/2015;9;2,46E+16
3/09/2015;598;540;420;296;27;48;2810;7;1243;0;754;482;870;250;29815;29544;138;196;774;3/09/2015;9;2,71E+15
4/09/2015;609;410;351;297;43;71;2540;7;1243;0;779;224;720;180;29784;29606;184;242;774;4/09/2015;9;1,78E+16
5/09/2015;680;300;347;296;73;113;2670;7;1243;0;753;604;450;210;29701;29519;207;288;772;5/09/2015;9;1,82E+16
6/09/2015;648;320;327;297;48;76;2510;7;1243;0;767;538;530;150;29813;29593;161;253;770;6/09/2015;9;2,2E+16
7/09/2015;570;500;379;298;42;66;2480;8;1244;0;686;448;750;300;29924;29641;173;265;769;7/09/2015;9;2,83E+16
8/09/2015;577;380;241;299;34;60;3190;8;1244;0;776;388;850;80;29957;29805;150;242;765;8/09/2015;9;1,52E+16
9/09/2015;602;220;179;298;41;68;2960;8;1244;0;818;372;490;90;29947;2968;161;265;794;9/09/2015;9;2,67E+16
10/09/2015;575;300;219;299;28;49;3090;8;1244;0;803;349;630;90;29984;2979;138;207;783;10/09/2015;9;1,94E+16
11/09/2015;533;600;381;300;17;32;660;8;1244;0;698;352;870;310;30175;29911;127;196;773;11/09/2015;9;2,64E+16
12/09/2015;574;490;333;299;20;37;840;8;1244;0;806;358;890;120;30107;29738;127;196;788;12/09/2015;9;3,69E+15
13/09/2015;582;320;205;297;32;53;2850;8;1244;0;818;352;730;70;29892;29579;173;253;795;13/09/2015;9;3,13E+16
14/09/2015;596;290;255;296;34;58;2860;8;1244;0;751;395;540;130;29759;29456;207;345;756;14/09/2015;9;3,03E+15
15/09/2015;629;380;367;295;89;140;2560;8;1244;0;709;548;620;250;29663;2939;253;414;765;15/09/2015;9;2,73E+15
16/09/2015;627;390;356;296;74;113;2650;9;1245;0;718;477;800;200;29708;29499;230;288;763;16/09/2015;9;2,09E+16
17/09/2015;584;450;362;296;44;73;2790;9;1245;0;658;443;730;290;29794;29502;184;276;658;17/09/2015;9;2,92E+15
18/09/2015;516;500;299;299;33;61;3340;12;1248;0;696;380;870;150;29997;29761;150;265;737;18/09/2015;9;2,36E+16
19/09/2015;514;450;245;299;29;50;3100;12;1248;0;747;281;880;120;30091;29788;173;219;750;19/09/2015;9;3,03E+15
20/09/2015;566;260;180;298;47;73;2940;12;1248;0;790;356;570;90;29926;29736;184;253;774;20/09/2015;9;1,9E+16
21/09/2015;616;210;192;297;43;70;2920;12;1248;0;803;389;410;100;2987;29573;161;219;784;21/09/2015;9;2,97E+15
22/09/2015;548;440;317;298;16;31;630;12;1248;0;742;373;750;160;29982;29712;92;138;772;22/09/2015;9;2,7E+15
23/09/2015;577;550;377;298;26;43;420;12;1248;0;812;399;890;120;29916;29663;196;299;791;23/09/2015;9;2,53E+15
24/09/2015;558;450;304;300;19;36;800;12;1248;0;777;346;790;180;30203;29839;138;196;772;24/09/2015;9;3,64E+16
25/09/2015;559;450;317;301;19;36;1160;12;1248;0;757;353;790;200;30252;29949;127;184;764;25/09/2015;9;3,03E+16
26/09/2015;574;410;273;299;19;33;1680;12;1248;0;818;344;830;110;30129;2972;138;196;795;26/09/2015;9;4,09E+15
27/09/2015;586;360;287;298;17;31;1160;12;1248;0;807;375;650;140;29961;29628;150;207;788;27/09/2015;9;3,33E+15
28/09/2015;541;530;352;298;22;36;30;12;1248;0;754;406;780;180;2997;29645;173;242;769;28/09/2015;9;3,25E+15
29/09/2015;550;720;452;299;18;34;1080;21;1257;0;697;452;920;320;29965;29788;115;173;775;29/09/2015;9;1,77E+15
30/09/2015;541;620;386;299;18;31;2870;21;1257;0;688;435;930;230;30024;29828;115;196;754;30/09/2015;9;1,96E+15
1/10/2015;543;570;374;299;18;30;3510;0;1257;0;739;419;800;240;30046;29816;161;207;770;1/10/2015;10;2,3E+16
2/10/2015;503;760;425;297;30;49;660;2;1259;0;684;409;920;390;29883;29562;138;184;774;2/10/2015;10;3,21E+16
3/10/2015;478;750;388;297;36;57;540;7;1264;0;655;389;910;180;29784;29503;150;219;655;3/10/2015;10;2,81E+15
4/10/2015;465;850;420;298;22;39;800;12;1269;0;563;422;940;550;29921;29562;127;161;563;4/10/2015;10;3,59E+15
5/10/2015;515;600;345;299;22;39;860;12;1269;0;684;332;920;220;3005;29768;127;173;749;5/10/2015;10;2,82E+16
6/10/2015;469;770;398;300;12;22;630;3;1287;0;615;362;920;490;30121;29842;104;161;615;6/10/2015;10;2,79E+15
7/10/2015;483;710;376;300;10;20;1550;3;1287;0;674;325;950;280;30176;29902;104;138;674;7/10/2015;10;2,74E+16
8/10/2015;488;660;353;301;19;35;870;31;1288;0;691;322;930;210;30278;29996;115;173;763;8/10/2015;10;2,82E+16
9/10/2015;519;610;371;301;22;39;280;31;1288;0;652;359;930;300;30319;29919;104;196;652;9/10/2015;10;4E+15
10/10/2015;658;220;253;298;76;116;3050;31;1288;0;772;566;300;130;30015;29607;161;219;766;10/10/2015;10;4,08E+16
11/10/2015;650;230;261;296;109;175;3320;31;1288;0;742;596;350;140;29706;29473;253;414;758;11/10/2015;10;2,33E+16
12/10/2015;618;150;123;298;72;114;3110;31;1288;0;754;536;230;80;29903;29672;196;322;749;12/10/2015;10;2,31E+15
13/10/2015;631;160;150;298;62;99;3320;31;1288;0;780;531;220;90;29931;29728;161;265;766;13/10/2015;10;2,03E+15
14/10/2015;617;180;166;298;73;114;3450;31;1288;0;763;413;360;90;29966;29681;184;299;754;14/10/2015;10;2,85E+16
15/10/2015;466;450;256;301;20;39;950;31;1288;0;604;343;650;310;30312;29917;104;173;604;15/10/2015;10;3,95E+15
16/10/2015;471;500;259;302;19;32;520;31;1288;0;723;267;890;150;30371;29925;150;196;744;16/10/2015;10;4,46E+16
17/10/2015;484;440;236;301;14;28;720;31;1288;0;698;288;780;140;3028;29866;92;161;738;17/10/2015;10;4,14E+15
18/10/2015;522;460;308;299;41;65;3560;31;1288;0;665;375;670;280;29991;29769;161;242;665;18/10/2015;10;2,22E+15
19/10/2015;467;600;326;298;33;52;3420;31;1288;0;621;353;810;340;29918;29783;161;242;621;19/10/2015;10;1,35E+14
20/10/2015;495;500;299;299;32;53;3090;33;129;0;640;335;830;220;2994;29761;127;196;640;20/10/2015;10;1,79E+16
21/10/2015;404;880;370;301;9;21;1260;74;1331;0;441;385;910;830;30194;29897;58;104;441;21/10/2015;10;2,97E+15
22/10/2015;362;890;333;299;3;7;1890;125;1382;0;389;331;920;860;30096;29799;46;58;389;22/10/2015;10;2,97E+15
23/10/2015;425;610;288;299;33;57;3160;131;1388;0;526;300;930;320;30138;29787;115;196;526;23/10/2015;10;3,51E+16
24/10/2015;413;520;226;301;49;74;2760;131;1388;0;563;261;890;230;30214;30019;173;265;563;24/10/2015;10;1,95E+16
25/10/2015;461;450;224;301;37;58;2880;131;1388;0;631;264;850;150;30191;29937;138;253;631;25/10/2015;10;2,54E+15
26/10/2015;462;530;290;299;48;73;2670;131;1388;0;565;366;710;310;29937;29746;173;219;565;26/10/2015;10;1,91E+15
27/10/2015;394;560;246;298;68;104;2540;133;139;0;457;337;850;380;29993;29737;184;276;457;27/10/2015;10;2,56E+15
28/10/2015;439;260;91;298;95;137;2700;133;139;0;592;353;470;90;29983;29664;207;288;592;28/10/2015;10;3,19E+16
29/10/2015;379;520;203;298;19;31;640;133;139;0;535;281;760;240;29874;29689;104;138;535;29/10/2015;10;1,85E+16
30/10/2015;371;690;269;298;31;47;3150;137;1393;0;481;287;900;280;29917;29647;253;368;481;30/10/2015;10;2,7E+15
31/10/2015;449;420;233;298;120;176;2670;137;1393;0;513;373;520;340;2991;2966;253;345;513;31/10/2015;10;25
1/11/2015;515;310;213;298;100;146;2830;0;1394;0;618;460;440;190;29887;29639;242;368;618;1/11/2015;11;2,48E+15
2/11/2015;502;330;198;296;76;108;2870;0;1394;0;647;278;720;150;29713;2948;196;299;647;2/11/2015;11;2,33E+16
3/11/2015;457;320;130;296;31;53;2920;0;1394;0;640;254;770;110;29793;29414;161;265;640;3/11/2015;11;3,79E+15
4/11/2015;352;690;254;297;19;33;490;14;1408;0;492;254;900;400;29831;29565;127;184;492;4/11/2015;11;2,66E+16
5/11/2015;321;620;187;299;61;97;2870;17;1411;0;408;281;900;320;301;29655;196;345;408;5/11/2015;11;4,45E+15
6/11/2015;305;440;107;302;63;95;2680;17;1411;0;392;239;690;270;30392;2997;196;288;392;6/11/2015;11;4,22E+15
7/11/2015;306;430;79;304;15;28;640;17;1411;0;519;133;710;110;30589;30154;127;184;519;7/11/2015;11;4,35E+15
8/11/2015;359;410;74;301;10;19;670;17;1411;0;639;164;740;60;30362;29792;69;115;639;8/11/2015;11;5,7E+15
9/11/2015;392;300;70;299;54;79;2900;17;1411;0;551;254;550;110;30075;29752;219;311;551;9/11/2015;11;3,23E+15
10/11/2015;435;390;160;296;53;84;2760;17;1411;0;542;298;890;160;29827;29489;207;322;542;10/11/2015;11;3,38E+16
11/11/2015;290;600;156;299;104;144;2870;27;1421;0;331;263;910;320;30137;29503;322;426;331;11/11/2015;11;6,34E+15
12/11/2015;311;440;111;302;81;117;2680;28;1422;0;402;233;670;300;30316;30098;230;357;402;12/11/2015;11;2,18E+16
13/11/2015;394;290;93;301;90;128;2660;28;1422;0;512;303;510;200;30264;29981;219;322;512;13/11/2015;11;2,83E+15
14/11/2015;413;340;121;300;23;37;2740;28;1422;0;601;216;690;130;30198;29798;115;138;601;14/11/2015;11;4E+16
15/11/2015;411;230;23;297;67;100;2840;28;1422;0;526;199;700;90;2997;29409;219;288;526;15/11/2015;11;5,61E+15
16/11/2015;351;530;169;295;28;45;270;28;1422;0;457;279;880;130;29667;29302;127;219;457;16/11/2015;11;3,65E+14
17/11/2015;310;500;130;297;104;152;2880;35;1429;0;398;242;840;240;29809;29608;311;472;398;17/11/2015;11;2,01E+15
18/11/2015;334;430;129;296;152;237;2680;35;1429;0;389;291;610;270;29948;29414;403;518;389;18/11/2015;11;5,34E+15
19/11/2015;360;400;136;299;139;203;2810;35;1429;0;399;295;540;280;30023;29803;322;426;399;19/11/2015;11;2,2E+16
20/11/2015;319;550;163;299;51;73;2780;43;1437;0;399;188;890;220;30377;29717;311;345;399;20/11/2015;11;6,6E+15
21/11/2015;283;280;-54;302;114;157;2730;43;1437;0;355;100;780;130;30456;2972;276;357;355;21/11/2015;11;7,36E+15
22/11/2015;416;190;25;300;133;184;2670;43;1437;0;511;321;270;140;30095;29927;334;460;511;22/11/2015;11;1,68E+16
23/11/2015;447;170;7;299;73;108;2780;43;1437;0;529;359;280;100;300;29723;173;242;529;23/11/2015;11;2,77E+14
24/11/2015;428;240;68;297;79;117;2820;43;1437;0;502;248;560;100;29767;29575;276;391;502;24/11/2015;11;1,92E+16
25/11/2015;293;590;149;298;29;50;720;43;1437;0;460;189;870;240;30107;2959;115;173;460;25/11/2015;11;5,17E+15
26/11/2015;133;800;83;304;28;46;680;47;1441;0;192;52;860;740;30636;30002;69;115;192;26/11/2015;11;6,34E+15
27/11/2015;102;740;35;306;18;30;740;55;1449;0;230;43;800;590;30762;30416;104;127;230;27/11/2015;11;3,46E+15
28/11/2015;159;750;93;304;10;19;380;64;1458;0;268;22;840;620;30498;302;92;127;268;28/11/2015;11;2,98E+15
29/11/2015;184;750;113;302;17;25;360;67;1461;0;321;81;840;370;30308;30001;161;196;321;29/11/2015;11;3,07E+15
30/11/2015;151;550;5;301;84;125;2690;67;1461;0;218;28;820;350;30238;30011;242;380;218;30/11/2015;11;2,27E+15
1/12/2015;237;350;-1;301;156;218;2540;0;1461;0;310;162;430;230;30227;30014;311;426;310;1/12/2015;12;2,13E+16
2/12/2015;340;250;18;302;100;139;2560;0;1461;0;391;293;350;180;3023;30087;196;276;391;2/12/2015;12;1,43E+16
3/12/2015;327;420;102;302;68;97;2690;0;1461;0;435;149;770;250;3031;30086;207;299;435;3/12/2015;12;2,24E+15
4/12/2015;396;290;73;300;61;90;2570;0;1461;0;541;135;780;140;30242;29858;207;276;541;4/12/2015;12;3,84E+16
5/12/2015;330;360;86;302;66;103;2870;0;1461;0;425;183;470;240;30562;29874;173;253;425;5/12/2015;12;6,88E+15
6/12/2015;345;210;-74;304;68;99;2750;0;1461;0;510;143;510;50;30617;30126;230;345;510;6/12/2015;12;4,91E+16
7/12/2015;438;210;58;299;151;226;2800;0;1461;0;498;370;390;140;30114;29651;345;472;498;7/12/2015;12;4,63E+16
8/12/2015;422;420;203;298;130;193;2740;2;1463;0;481;344;820;270;29946;29697;322;449;481;8/12/2015;12;2,49E+16
9/12/2015;474;280;152;297;158;228;2530;2;1463;0;559;416;430;170;29847;29474;345;449;559;9/12/2015;12;3,73E+15
10/12/2015;434;280;121;296;98;144;2580;2;1463;0;485;363;400;220;29733;29347;230;345;485;10/12/2015;12;3,86E+16
11/12/2015;327;700;233;296;33;54;2090;8;1469;0;448;258;880;260;29809;29345;173;311;448;11/12/2015;12;4,64E+15
12/12/2015;235;820;188;299;16;31;990;8;1469;0;267;164;870;750;30049;2966;81;115;267;12/12/2015;12;3,89E+16
13/12/2015;224;690;128;299;17;29;3170;18;1479;0;470;41;860;330;30128;29503;138;219;470;13/12/2015;12;625
14/12/2015;326;530;164;294;43;67;240;18;1479;0;436;218;840;320;29589;29268;127;219;436;14/12/2015;12;3,21E+16
15/12/2015;183;710;102;297;44;71;2920;18;1479;0;219;143;860;450;29915;29326;219;299;219;15/12/2015;12;5,89E+15
16/12/2015;175;430;-13;300;106;153;2650;18;1479;0;232;100;540;320;30093;2986;253;368;232;16/12/2015;12;2,33E+16
17/12/2015;172;360;-57;301;108;163;2800;18;1479;0;227;133;610;250;3021;29952;276;449;227;17/12/2015;12;2,58E+15
18/12/2015;324;450;133;301;136;199;2760;18;1479;0;429;222;510;330;30132;29983;334;529;429;18/12/2015;12;1,49E+15
19/12/2015;442;250;104;298;103;156;3130;18;1479;0;511;297;500;180;3008;29604;230;345;511;19/12/2015;12;4,76E+15
20/12/2015;364;390;125;296;84;125;3210;18;1479;0;452;284;730;150;29758;29524;230;403;452;20/12/2015;12;2,34E+15
21/12/2015;308;470;126;297;123;177;3060;18;1479;0;353;272;720;320;29909;29554;276;414;353;21/12/2015;12;3,55E+15
22/12/2015;309;690;217;293;42;64;850;18;1479;0;369;203;890;520;2955;29217;138;253;369;22/12/2015;12;3,33E+16
23/12/2015;196;590;72;295;42;68;3120;26;1487;0;281;120;830;390;29719;29352;161;242;281;23/12/2015;12;3,67E+15
24/12/2015;153;440;-29;300;61;89;2710;26;1487;0;204;84;610;320;30139;29696;184;265;204;24/12/2015;12;4,43E+16
25/12/2015;177;680;86;299;17;27;620;27;1488;0;315;84;840;400;30078;29722;104;127;315;25/12/2015;12;3,56E+15
26/12/2015;87;690;4;305;12;20;530;29;149;0;199;-70;820;430;30907;29949;92;115;199;26/12/2015;12;9,58E+15
27/12/2015;34;640;-68;307;11;19;350;34;1495;0;331;-122;760;300;31017;30322;104;138;331;27/12/2015;12;6,95E+15
28/12/2015;131;500;-49;301;45;68;3130;34;1495;0;360;-86;760;170;30355;29857;196;276;360;28/12/2015;12;4,98E+15
29/12/2015;109;620;-3;301;13;22;490;35;1496;0;298;-20;790;310;30309;29881;104;127;298;29/12/2015;12;4,28E+15
30/12/2015;120;570;-12;303;28;41;2830;35;1496;0;253;7;790;330;30468;30107;161;207;253;30/12/2015;12;3,61E+16
31/12/2015;67;660;-25;306;12;22;610;35;1496;0;225;-54;790;400;30909;30338;92;127;225;31/12/2015;12;5,71E+14
1/01/2016;75;510;-94;308;7;13;560;0;0;0;378;-122;750;110;31021;30543;69;104;378;1/01/2016;1;4,78E+16
2/01/2016;157;490;-29;306;6;11;30;0;0;0;405;-48;760;150;30832;30353;81;127;405;2/01/2016;1;4,79E+15
3/01/2016;310;410;85;303;18;30;3500;0;0;0;488;172;720;200;30515;30065;138;196;488;3/01/2016;1;4,5E+15
4/01/2016;250;570;98;302;9;14;2750;0;0;0;486;116;810;190;30407;29982;115;161;486;4/01/2016;1;4,25E+15
5/01/2016;284;530;118;299;22;34;3340;0;0;0;460;138;750;240;30139;29694;127;196;460;5/01/2016;1;4,45E+15
6/01/2016;321;480;137;297;42;65;3310;0;0;0;425;204;710;270;29841;29577;127;242;425;6/01/2016;1;2,64E+16
7/01/2016;272;770;209;297;13;23;580;0;0;0;358;214;880;620;29858;29642;104;138;358;7/01/2016;1;2,16E+16
8/01/2016;195;830;151;299;23;41;810;2;2;0;260;79;880;760;30153;29689;81;115;260;8/01/2016;1;4,64E+16
9/01/2016;155;600;28;302;42;66;3220;5;5;0;293;18;830;360;30336;3009;173;265;293;9/01/2016;1;2,46E+16
10/01/2016;227;320;-28;301;101;148;3170;5;5;0;297;181;430;220;30166;30042;196;311;297;10/01/2016;1;1,24E+16
11/01/2016;284;240;-37;301;117;163;3030;5;5;0;360;216;330;170;30158;2995;265;380;360;11/01/2016;1;2,08E+16
12/01/2016;325;230;-20;301;131;190;2980;5;5;0;403;278;410;140;30203;29952;253;437;403;12/01/2016;1;2,51E+16
13/01/2016;371;260;44;299;135;193;2940;5;5;0;448;297;410;160;30084;29658;299;357;448;13/01/2016;1;4,26E+15
14/01/2016;298;370;54;297;112;174;3110;5;5;0;363;236;600;180;29825;29566;288;380;363;14/01/2016;1;2,59E+16
15/01/2016;230;540;77;298;68;105;3010;5;5;0;297;129;820;330;29979;29681;242;380;297;15/01/2016;1;2,98E+16
16/01/2016;207;480;36;300;55;88;2680;5;5;0;314;60;750;280;30242;29918;207;311;314;16/01/2016;1;3,24E+15
17/01/2016;298;470;116;300;95;146;2910;5;5;0;358;257;650;340;30077;29873;207;322;358;17/01/2016;1;2,04E+16
18/01/2016;352;420;139;299;97;138;2840;5;5;0;433;294;550;290;30042;29791;265;345;433;18/01/2016;1;2,51E+15
19/01/2016;329;490;143;300;52;80;3020;5;5;0;401;242;820;270;30168;29818;173;253;401;19/01/2016;1;3,5E+16
20/01/2016;305;420;99;299;76;118;3000;5;5;0;378;245;600;300;30123;29731;184;322;378;20/01/2016;1;3,92E+16
21/01/2016;296;350;41;303;70;106;2930;5;5;0;401;235;510;160;30379;30094;196;322;401;21/01/2016;1;2,85E+16
22/01/2016;413;360;157;301;72;107;2930;5;5;0;538;238;610;210;30286;29838;184;253;538;22/01/2016;1;4,48E+15
23/01/2016;421;220;54;298;70;101;3270;5;5;0;510;313;400;140;29944;29626;173;242;510;23/01/2016;1;3,18E+16
24/01/2016;328;410;105;296;62;91;3210;5;5;0;422;214;810;230;29839;29462;207;288;422;24/01/2016;1;3,77E+15
25/01/2016;248;400;34;301;49;78;3360;5;5;0;324;138;620;270;30275;29748;150;207;324;25/01/2016;1;5,27E+15
26/01/2016;275;310;-2;303;53;85;3110;5;5;0;379;135;640;200;3039;30174;138;242;379;26/01/2016;1;2,16E+16
27/01/2016;375;390;134;302;45;72;3470;5;5;0;533;244;620;220;30318;30043;150;242;533;27/01/2016;1;2,75E+16
28/01/2016;411;350;149;300;106;156;3080;5;5;0;502;333;450;250;30138;29742;242;334;502;28/01/2016;1;3,96E+15
29/01/2016;398;300;103;297;164;239;2920;5;5;0;451;338;520;180;29793;29508;311;460;451;29/01/2016;1;2,85E+16
30/01/2016;384;600;247;295;110;169;2870;5;5;0;473;258;890;350;29626;29322;299;449;473;30/01/2016;1;3,04E+16
31/01/2016;223;650;112;299;37;62;2440;5;5;0;291;177;870;330;30002;29616;230;288;291;31/01/2016;1;3,86E+16
1/02/2016;181;820;136;298;21;32;970;1;22;0;224;144;850;780;2986;29626;115;161;224;1/02/2016;2;2,34E+15
2/02/2016;123;770;63;301;20;32;1120;1;22;0;181;28;820;660;30259;29838;104;127;181;2/02/2016;2;4,21E+15
3/02/2016;85;500;-78;304;81;118;2670;1;22;0;181;-43;780;280;30518;30258;230;380;181;3/02/2016;2;2,6E+16
4/02/2016;205;400;-3;303;136;190;2710;2;23;0;309;100;540;280;30409;30236;276;414;309;4/02/2016;2;1,73E+16
5/02/2016;235;350;-7;304;95;143;2900;2;23;0;291;167;460;260;30482;30278;207;299;291;5/02/2016;2;2,04E+16
6/02/2016;343;320;70;302;166;244;3070;6;26;0;438;250;430;210;30332;29952;311;564;438;6/02/2016;2;3,8E+14
7/02/2016;346;310;69;301;126;204;3260;6;26;0;386;307;410;210;3027;29951;311;506;386;7/02/2016;2;3,19E+16
8/02/2016;402;330;130;302;105;166;3060;6;26;0;476;347;400;230;30259;30162;230;368;476;8/02/2016;2;9,7E+15
9/02/2016;437;220;70;302;105;144;3120;6;26;0;538;362;310;140;30248;301;207;265;538;9/02/2016;2;1,48E+15
10/02/2016;466;160;25;300;110;160;3470;6;26;0;560;406;240;70;30121;29898;207;345;560;10/02/2016;2;2,23E+16
11/02/2016;467;240;111;300;89;139;3490;6;26;0;563;383;370;170;30096;29861;242;380;563;11/02/2016;2;2,35E+16
12/02/2016;485;310;189;300;79;111;3090;6;26;0;576;406;420;230;30119;29909;207;276;576;12/02/2016;2;2,1E+16
13/02/2016;434;210;54;298;119;173;3600;6;26;0;553;194;320;120;29911;29671;265;426;553;13/02/2016;2;2,4E+14
14/02/2016;365;370;119;298;159;243;3250;6;26;0;419;314;600;200;29948;29701;334;506;419;14/02/2016;2;2,47E+15
15/02/2016;385;500;212;298;145;233;2990;6;26;0;443;324;630;400;2992;29664;345;426;443;15/02/2016;2;2,56E+15
16/02/2016;420;360;157;298;113;180;3200;6;26;0;498;372;590;220;29904;29759;322;426;498;16/02/2016;2;1,45E+16
17/02/2016;494;170;39;298;99;145;3320;6;26;0;607;383;310;80;29938;29426;230;357;607;17/02/2016;2;5,12E+15
18/02/2016;469;340;176;294;154;232;3550;7;27;0;553;303;770;140;29819;29226;345;564;553;18/02/2016;2;593
19/02/2016;399;250;53;299;163;237;3550;7;27;0;502;290;420;100;30044;29803;311;460;502;19/02/2016;2;2,41E+16
20/02/2016;432;290;131;299;126;191;3540;7;27;0;511;369;450;190;30006;29805;242;414;511;20/02/2016;2;2,01E+15
21/02/2016;306;520;142;302;42;72;820;7;27;0;409;192;730;350;30317;29979;207;322;409;21/02/2016;2;3,38E+16
22/02/2016;291;600;153;300;38;60;430;7;27;0;402;186;870;270;30147;29856;138;207;402;22/02/2016;2;2,91E+15
23/02/2016;236;640;118;303;23;40;650;16;36;0;343;112;870;300;30445;30029;127;173;343;23/02/2016;2;4,16E+16
24/02/2016;305;270;-16;302;96;140;3080;16;36;0;428;111;680;140;30416;30023;253;334;428;24/02/2016;2;3,93E+15
25/02/2016;294;470;101;303;37;60;530;16;36;0;429;100;750;280;3043;30082;219;322;429;25/02/2016;2;3,48E+14
26/02/2016;448;250;95;301;89;127;3540;16;36;0;576;355;410;110;3025;2988;184;265;576;26/02/2016;2;3,7E+14
27/02/2016;467;220;95;297;120;176;650;16;36;0;563;369;510;150;29898;29549;265;368;563;27/02/2016;2;3,49E+15
28/02/2016;422;250;71;299;87;132;580;16;36;0;536;315;440;110;29942;29749;253;368;536;28/02/2016;2;1,93E+15
29/02/2016;381;360;123;298;115;170;770;16;36;0;459;279;730;220;30023;29702;299;391;459;29/02/2016;2;3,21E+16
1/03/2016;364;300;76;300;79;125;230;0;21;0;470;245;510;220;30125;29817;242;345;470;1/03/2016;3;3,08E+16
2/03/2016;399;380;144;298;118;187;350;4;25;0;468;329;860;190;29941;29644;276;437;468;2/03/2016;3;2,97E+15
3/03/2016;425;200;19;300;86;124;3480;4;25;0;561;312;350;90;30046;29851;253;345;561;3/03/2016;3;1,95E+16
4/03/2016;413;350;134;300;46;73;480;4;25;0;564;239;690;170;30195;29816;173;265;564;4/03/2016;3;3,79E+16
5/03/2016;386;420;111;300;43;63;320;4;25;0;586;194;800;120;30226;2962;196;311;586;5/03/2016;3;6,06E+15
6/03/2016;461;370;200;295;100;145;920;4;25;0;533;413;610;190;29727;29349;219;299;533;6/03/2016;3;3,78E+15
7/03/2016;367;500;193;295;77;115;1020;5;26;0;425;312;770;350;29701;29352;196;265;425;7/03/2016;3;3,49E+15
8/03/2016;303;650;193;298;30;49;1130;6;27;0;388;208;830;430;30001;29678;115;173;388;8/03/2016;3;3,23E+15
9/03/2016;318;550;159;300;50;75;990;6;27;0;432;184;830;270;30133;2982;196;276;432;9/03/2016;3;3,13E+16
10/03/2016;427;350;162;300;90;131;1000;6;27;0;562;302;540;210;30183;29936;230;299;562;10/03/2016;3;2,47E+15
11/03/2016;445;330;122;299;44;66;990;6;27;0;638;248;630;80;30111;29697;184;242;638;11/03/2016;3;4,14E+15
12/03/2016;423;430;191;296;55;82;980;6;27;0;620;263;690;160;29782;2947;184;265;620;12/03/2016;3;3,12E+16
13/03/2016;433;360;178;297;94;137;920;6;27;0;526;349;530;240;29757;29522;242;368;526;13/03/2016;3;2,35E+16
14/03/2016;376;590;236;296;83;120;990;8;29;0;437;281;880;400;2978;2953;242;345;437;14/03/2016;3;25
15/03/2016;260;440;62;300;74;119;980;8;29;0;318;205;670;220;30088;29729;219;311;318;15/03/2016;3;3,59E+16
